inputs,targets
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Власником Одеського НПЗ є компанія «Емпсон лімітед», бенефіціаром якої є бізнесмен Сергій Курченко, який оголошений в міжнародний розшук.","Власницею Одеського НПЗ є компанія «Емпсон лімітед», бенефіціаркою якої є бізнесменка Тамара Курченко, яка оголошена в міжнародний розшук."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником ТОВ «Данком» є Андрій Довгополов, який раніше був прописаний в Донецьку.","Засновницею ТОВ «Данком» є Вікторія Довгополова, яка раніше була прописана в Донецьку."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): На сьогоднішній день в списку засновників Котельникова замінив Дмитро Лобанов.",На сьогоднішній день в списку засновниць Котельникову замінила Ніна Лобанова.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Мегатрейд-Схід» і Довгополов є співзасновниками донецького підприємства «Дорожньо-ремонтно-будівельне об'єднання 1».",«Мегатрейд-Схід» і Довгополова є співзасновницями донецького підприємства «Дорожньо-ремонтно-будівельне об'єднання 1».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником і директором ТОВ «Українсько-польське підприємство з іноземними інвестиціями «УПС» є Тарас Палій, син колишнього генерального директора ДП «Дніпропетровський облавтодор».","Засновницею і директоркою ТОВ «Українсько-польське підприємство з іноземними інвестиціями «УПС» є Тетяна Палій, дочка колишньої генеральної директорки ДП «Дніпропетровський облавтодор»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): ФХУ очолює близький до премʼєра Миколи Азарова голова націоналізованого «Укргазбанку» Анатолій Брезвін.",ФХУ очолює близька до премʼєрки Наталії Азарової голова націоналізованого «Укргазбанку» Олена Брезвін.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше Кушнір був заступником директора комунального підприємства «Парксервіс».",Раніше Кушнір була заступницею директорки комунального підприємства «Парксервіс».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Кушнір є діючим керівником партії «Родина» в Одесі.",Кушнір є діючою керівницею партії «Родина» в Одесі.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім цього, пільги на 2017 рік в розмірі майже 35 млн грн. отримають ще 27 стоянок громадської організації «Всеукраїнська спілка автомобілістів», яка є засновником Асоціації автомобілістів Одеської області, де Кушнір свого часу був президентом, а депутат від «Родини» Левон Самхарадзе був секретарем.","Крім цього, пільги на 2017 рік в розмірі майже 35 млн грн. отримають ще 27 стоянок громадської організації «Всеукраїнська спілка автомобілістів», яка є засновником Асоціації автомобілісток Одеської області, де Кушнір свого часу була президенткою, а депутатка від «Родини» Оксана Самхарадзе була секретаркою."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд звільнив від кримінальної відповідальності інженера, який здійснював технагляд за реконструкцією мосту через річку Вовча у Дніпропетровській області, яку проводило ТОВ «Українсько-польське підприємство з іноземними інвестиціями «УПС».","Суд звільнив від кримінальної відповідальності інженерку, яка здійснювала технагляд за реконструкцією мосту через річку Вовча у Дніпропетровській області, яку проводило ТОВ «Українсько-польське підприємство з іноземними інвестиціями «УПС»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2014 році директор фірми «УПС» Тарас Палій вніс завідомо недостовірні відомості в акти виконаних робіт.",У 2014 році директорка фірми «УПС» Ольга Палій внесла завідомо недостовірні відомості в акти виконаних робіт.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Обвинувачений інженер Євген Курілех з метою отримання неправомірної вигоди підписав ці акти, на підставі чого «УПС» отримав бюджетні кошти.","Обвинувачена інженерка Валентина Курілех з метою отримання неправомірної вигоди підписала ці акти, на підставі чого «УПС» отримав бюджетні кошти."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Прокурор це клопотання підтримав і суд його задовольнив.",Прокурорка це клопотання підтримала і суд її задовольнив.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 2 жовтня 2015 р. суд аналогічно звільнив від кримінальної відповідальності директора фірми «УПС» Тараса Палія.",2 жовтня 2015 р. суд аналогічно звільнив від кримінальної відповідальності директорку фірми «УПС» Валентину Палію.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Ще у 2015 році було закрито кримінальну справу проти Тараса Палія і екс-начальника Департаменту комунального господарства і капбудівництва Дніпропетровської міськради Володимира Лисого.",Ще у 2015 році було закрито кримінальну справу проти Тетяни Палій і екс-начальниці Департаменту комунального господарства і капбудівництва Дніпропетровської міськради Валентини Лисої.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Власником фірми «УПС» до кінця минулого року був її директор Тарас Палій, син екс-начальника ДП «Дніпропетровський облавтодор».","Власницею фірми «УПС» до кінця минулого року була її директорка Ірина Палій, донька екс-начальника ДП «Дніпропетровський облавтодор»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Її власницею є Ірина Гуназа, відома як представник партії «Україна майбутнього» Святослава Олійника, екс-замгубернатора Ігоря Коломойського.","Його власником є Роман Гуназа, відомий як представниця партії «Україна майбутнього» Катерини Олійник, екс-замгубернаторки Надії Коломойської."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Найбільшим підрядником департаменту було підприємство «УПС».",Найбільшою підрядницею департаменту було підприємство «УПС».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Олійник тоді пообіцяв «відмити» підрядників і запустити їх на нові чесні тендери.",Олійниця тоді пообіцяла «відмити» підрядниць і запустити їх на нові чесні тендери.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В обох підприємствах директором є Петро Орихівський.",В обох підприємствах директоркою є Катерина Орихівська.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками Диканської районної громадської організації «Товариство мисливців Диканщини» є депутат Полтавської облради від Партії регіонів Віктор Гришанов, депутат Диканської райради (позапартійний), начальник Диканського районного управління юстиції Сергій Джюве, депутат Диканської райради (з 2006 року), член Парітї регіонів В'ячеслав Марченко, голова Диканської РДА, депутат Диканської райради Юрій Оніщенко, депутат Диканської райради (член «Фронт змін»), директор ДП «Диканське досвідне лісомисливське господарство» Вадим Нетудихата, а також начальник фінансового управління Диканської РДА Євгеній Фесенко.","Засновницями Диканської районної громадської організації «Товариство мисливець Диканщини» є депутатка Полтавської облради від Партії регіонів Юлія Гришанова, депутатка Диканської райради (позапартійна), начальниця Диканського районного управління юстиції Олена Джюве, депутатка Диканської райради (з 2006 року), членкиня Партії регіонів Тетяна Марченко, голова Диканської РДА, депутатка Диканської райради Тетяна Оніщенко, депутатка Диканської райради (членкиня «Фронт змін»), директорка ДП «Диканське досвідне лісомисливське господарство» Тетяна Нетудихата, а також начальниця фінансового управління Диканської РДА Олена Фесенко."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Полтавську організацію Українського товариства мисливців і рибалок очолює екс-депутат Полтавської облради Костянтин Боровик.",Полтавську організацію Українського товариства мисливець і рибалок очолює екс-депутатка Полтавської облради Валентина Боровик.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Дніпропетровський міжрайонний прокурор звернувся до суду з проханням повернути місту орендовану ділянку, оскільки вказані вище рішення судів у липні 2012 року були скасовані постановою Дніпропетровського апеляційного адмінсуду.","Дніпропетровська міжрайонна прокурорка звернулась до суду з проханням повернути місту орендовану ділянку, оскільки вказані вище рішення судів у липні 2012 року були скасовані постановою Дніпропетровського апеляційного адмінсуду."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Госпсуд Дніпропетровської області відхилив доводи «Метиди» про те, що підставою для передачі ділянки в оренду фірмі стало розпорядження голови Дніпропетровської РДА, оскільки для укладення такого договору обов'язково має бути рішення РДА.","Госпсуд Дніпропетровської області відхилив доводи «Метиди» про те, що підставою для передачі ділянки в оренду фірмі стало розпорядження голови Дніпропетровської РДА, оскільки для укладення такого договору обов'язково має бути рішення РДА."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2006-2007 роках Дніпропетровську РДА очолював Віктор Шинкевич, який нині є депутатом Дніпропетровської облради від Партії регіонів.","У 2006-2007 роках Дніпропетровську РДА очолювала Юлія Шинкевич, яка нині є депутаткою Дніпропетровської облради від Партії регіонів."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд визнав інженера ДП «Південна залізниця» винним у службовій недбалості, що спричинило шкоду на 181 тис грн. у вигляді надмірного перерахування коштів за роботи ТОВ «Житлобуд ЛТД».","Суд визнав інженерку ДП «Південна залізниця» винною у службовій недбалості, що спричинило шкоду на 181 тис грн. у вигляді надмірного перерахування коштів за роботи ТОВ «Житлобуд ЛТД»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З'ясовано, що інженер залізниці не перевірив дані про обсяги, вартість та якість робіт, внесених до актів прийому виконаних робіт, які в подальшому підписав начальник Красноградської дистанції колії ДП «Південна залізниця».","З'ясовано, що інженерка залізниці не перевірила дані про обсяги, вартість та якість робіт, внесених до актів прийому виконаних робіт, які в подальшому підписав начальник Красноградської дистанції колії ДП «Південна залізниця»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Протягом 2010-2012 рр. власником і директором фірми був киянин Сергій Смолінський.",Протягом 2010-2012 рр. власницею і директоркою фірми була киянка Олена Смолінська.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками «ІАЦ «Спейс-Інформ» є Микола Мітрахов, Сергій Єрмолаєв, ТОВ «Українська комп'ютерна лабораторія», ТОВ «Юридична фірма «Легіс-Плюс», ВГО Аерокосмічне товариство України, Громадська наукова організація «Інститут авіаційно-космічних досліджень».","Засновницями «ІАЦ «Спейс-Інформ» є Галина Мітрахова, Світлана Єрмолаєва, ТОВ «Українська комп'ютерна лабораторія», ТОВ «Юридична фірма «Легіс-Плюс», ВГО Аерокосмічне товариство України, Громадська наукова організація «Інститут авіаційно-космічних досліджень»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): ТОВ «Українська комп'ютерна лабораторія» заснували шість фізосіб, серед яких Олександр Макаров, котрий є радником голови Державного космічного агентства.","ТОВ «Українська комп'ютерна лабораторія» заснували шість фізосіб, серед яких Олександра Макарова, котра є радницею голови Державного космічного агентства."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За словами директора «Національного туристичного офісу» Олега Литвяка, німецька сторона запропонувала чотирьом містам України безкоштовну участь у експозиції, виділивши загалом 450 кв м площі.","За словами директорки «Національного туристичного офісу» Олександри Литвяк, німецька сторона запропонувала чотирьом містам України безкоштовну участь у експозиції, виділивши загалом 450 кв м площі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В його підготовці візьмуть участь як державні чиновники, місцева влада, так і бізнес-складова – туристичні оператори, які прийматимуть туристів з-за кордону.","В її підготовці візьмуть участь як державні чиновниці, місцева влада, так і бізнес-складова – туристичні оператори, які прийматимуть туристів з-за кордону."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За даними податківців, протягом 2015 року «Укрстрой» мав взаємовідносини з підприємствами, що мають ознаки фіктивності: ТОВ «БК «Олімпія», ТОВ «Укрбуд- Альянс», ТОВ «Колібріпром», ТОВ «Нью Сторі», ТОВ «Еліт-Промторг», ТОВ «Вілтіс- Трейдінг», ТОВ «Мюльтоне», ТОВ «БК «Інвест Груп», ТОВ «Укртехторг 2015», ТОВ «Аліот Груп» і ТОВ «Бруден».","За даними податківниць, протягом 2015 року «Укрстрой» мав взаємовідносини з підприємствами, що мають ознаки фіктивності: ТОВ «БК «Олімпія», ТОВ «Укрбуд- Альянс», ТОВ «Колібріпром», ТОВ «Нью Сторі», ТОВ «Еліт-Промторг», ТОВ «Вілтіс- Трейдінг», ТОВ «Мюльтоне», ТОВ «БК «Інвест Груп», ТОВ «Укртехторг 2015», ТОВ «Аліот Груп» і ТОВ «Бруден»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником і директором ТОВ «Укрстрой» є Євгеній Прокопенко.",Засновницею і директоркою ТОВ «Укрстрой» є Олена Прокопенко.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Поліція підозрює заступника головного лікаря Комунального закладу охорони здоровʼя «Харківська міська дитяча лікарня № 5» в незаконній вимозі оплати за надання медичної допомоги.",Поліція підозрює заступницю головного лікаря Комунального закладу охорони здоровʼя «Харківська міська дитяча лікарня № 5» в незаконній вимозі оплати за надання медичної допомоги.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Про це стало відомо з ухвал Фрунзенського районного суду м. Харкова, куди слідчий звернувся в рамках кримінального провадження № 42017221050000013 від 24.02.2017 року.","Про це стало відомо з ухвал Фрунзенського районного суду м. Харкова, куди слідча звернулася в рамках кримінального провадження № 42017221050000013 від 24.02.2017 року."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В поліцію звернулася потерпіла, яка розповіла, що зі своєю донькою побула на прийомі у заступника головного лікаря з медичної частини «Харківської міської дитячої лікарні №5».","В поліцію звернулася потерпіла, яка розповіла, що зі своєю донькою побула на прийомі у заступниці головного лікаря з медичної частини «Харківської міської дитячої лікарні №5»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після скарг дочки на здоровʼя, лікар відвела їх до кабінету для проведення ультразвукової допплерографії сосудів, на дверях лабораторії не було жодних назв, оголошень або прейскурантів.","Після скарг дочки на здоровʼя, лікарка відвела їх до кабінету для проведення ультразвукової допплерографії сосудів, на дверях лабораторії не було жодних назв, оголошень або прейскурантів."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За проведення діагностики потерпіла заплатила 390 грн лікарям, на основі даних дослідження заступник головлікаря встановила діагноз та призначила лікування.","За проведення діагностики потерпіла заплатила 390 грн лікаркам, на основі даних дослідження заступниця головлікарки встановила діагноз та призначила лікування."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Поліція також вважає, що фірма не має ліцензії на проведення медичних досліджень і є лише прикриттям для комерційної діяльності посадовців лікарні.","Поліція також вважає, що фірма не має ліцензії на проведення медичних досліджень і є лише прикриттям для комерційної діяльності посадовиць лікарні."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З судових матеріалів відомо, що слідчі провели обшуки «Харківська міська дитяча лікарня № 5» та наклали арешт на обладнання «АРС-2015».","З судових матеріалів відомо, що слідчі провели обшуки «Харківська міська дитяча лікарня № 5» та наклали арешт на обладнання «АРС-2015»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В суді слідчий клопотав про доступ до документів фірми, і суд це клопотання задовольнив.","В суді слідча клопотала про доступ до документів фірми, і суд це клопотання задовольнив."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником «АРС-2015» вказана харків'янка Світлана Христинко, в квартирі якої і зареєстрована фірма.","Засновницею «АРС-2015» вказана харків'янка Світлана Христинко, в квартирі якої і зареєстрована фірма."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З вересня керівником фірми є Ольга Парсаданова, яка також є співвласницею ТОВ «Укрградінвест» та ТОВ «Медіапростір»","З вересня керівницею фірми є Ольга Парсаданова, яка також є співвласницею ТОВ «Укрградінвест» та ТОВ «Медіапростір»"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Галина Симха – дружина судді Вищого адміністративного суду Миколи Заїки.",Олександр Симха – чоловік судді Вищого адміністративного суду Галини Заїки.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Під час його балотування на посаду судді Верховного суду Громадська рада доброчесності надала кваліфікаційній комісії негативний висновок щодо його кандидатури.",Під час її балотування на посаду судді Верховного суду Громадська рада доброчесності надала кваліфікаційній комісії негативний висновок щодо її кандидатури.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Його звинуватили у приховуванні доходів та прав власності дружини в деклараціях та у скасуванні рішень Вищої ради юстиції по суддям, які виносили неправомірні рішення щодо учасників Революції Гідності.","Його звинуватили у приховуванні доходів та прав власності дружини в деклараціях та у скасуванні рішень Вищої ради юстиції по суддям, які виносили неправомірні рішення щодо учасників Революції Гідності."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Обласна клінічна лікарня Івано-Франківської облради 27 липня розірвала договір із ФОП Олександрою Іванишин на закупівлю респіраторів, які продавали вдвічі дорожче ціни виробника.","Обласна клінічна лікарня Івано-Франківської облради 27 липня розірвала договір із ФОП Олександром Іванишиним на закупівлю респіраторів, які продавали вдвічі дорожче ціни виробника."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Відповідачами у справі стали підприємці: Володимир Ясіновський, Максим Дячук, Вілора Невінська, Лариса Климчук, Галина Турок, Богдана Кулик, Людмила Петрик, Степанія Сіліч, Галина Саврук та Світлана Добощук, остання з яких у квітні минулого року припинила підприємницьку діяльність, у зв'язку з чим оминула відповідальності за участь у змові.","Відповідачами у справі стали підприємці: Марина Ясіновська, Олена Дячук, Володимир Невінський, Степанія Климчук, Денис Турок, Богдан Кулик, Артем Петрик, Степан Сіліч, Олег Саврук та Назар Добощук, останній з яких у квітні минулого року припинив підприємницьку діяльність, у зв'язку з чим оминув відповідальності за участь у змові."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Усі ці факти в сукупності, резюмували тернопільські антимонопольники, не можуть бути результатом випадкового збігу обставин, а свідчить про координацію дій між підприємцями.","Усі ці факти в сукупності, резюмували тернопільські антимонопольниці, не можуть бути результатом випадкового збігу обставин, а свідчить про координацію дій між підприємцями."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нагадаємо, сьогодні виконуючою обовʼязки голови Тернопільського ОТВ АМКУ є Надія Чорномаз, яка займає посаду заступника голови Відділення – начальника Відділу досліджень і розслідувань.","Нагадаємо, сьогодні виконуючим обовʼязки голови Тернопільського ОТВ АМКУ є Максим Чорномаз, який займає посаду заступниці голови Відділення – начальниці Відділу досліджень і розслідувань."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Про це йдеться в проекті розпорядження Кабміну, який виносився на засідання урядового комітету під головуванням першого віце-премʼєр-міністра Степана Кубіва 24 жовтня.","Про це йдеться в проекті розпорядження Кабміну, який виносився на засідання урядового комітету під головуванням першої віце-премʼєр-міністерки Лариси Кубів 24 жовтня."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником цієї фірми є ТОВ «Хокейний клуб «Донбас», заснований Сергієм Шакуровим та фірмою «Укрінвест» народного депутата від Партії регіонів Бориса Колеснікова та його дружини Світлани.","Засновником цієї фірми є ТОВ «Хокейний клуб «Донбас», заснований Тетяною Шакуровою та фірмою «Укрінвест» народної депутатки від Партії регіонів Надії Колеснікової та її дружини Світлани."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками ТОВ «Голден Деррік» є НАК «Надра України» (33%) і кіпрська компанія «Хартлог Лімітед» (67%).",Засновницями ТОВ «Голден Деррік» є НАК «Надра України» (33%) і кіпрська компанія «Хартлог Лімітед» (67%).
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За часів Януковича фірму контролювало бізнес-середовище екс-міністрів Миколи Присяжнюка, Едуарда Ставицького і колишнього народного депутата Юрія Іванющенка.","За часів Януковичої фірму контролювало бізнес-середовище екс-міністерок Наталії Присяжнюк, Ірини Ставицької і колишньої народної депутатки Юлії Іванющенко."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Фірма через суд доводить свою непричетність до Ставицького та інших екс-чиновників часів Януковича.",Фірма через суд доводить свою непричетність до Ставицької та інших екс-чиновниць часів Янукович.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Бенефіціарами ТОВ «Сахалінське» є нардеп від «Народного фронту», бізнес-партнер міністра МВС Арсена Авакова Ігор Котвіцький та екс-нардеп від «Блоку Юлії Тимошенко» Віталій Данилов.","Бенефіціарками ТОВ «Сахалінське» є нардепка від «Народного фронту», бізнес-партнерка міністерки МВС Аліни Авакової Юлія Котвіцька та екс-нардепка від «Блоку Юлії Тимошенко» Віталіна Данилова."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 12,5% належить Лілії Луговській, прийомній доньці екс-директора підприємства Сергія Якимчука.","12,5% належить Лілії Луговській, прийомній доньці екс-директорки підприємства Світлани Якимчук."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Головою правління підприємства є Олексій Гужва, екс-заступник мера Черкас Сергія Одарича, головою наглядової ради – Ніна Набокіна","Головою правління підприємства є Олексадра Гужва, екс-заступниця мера Черкас Сергія Одарича, головою наглядової ради – Ніна Набокіна"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Сергій Одарич є почесним головою Партії Вільних демократів, керівником якої є Михайло Бродський.","Марія Одарич є почесною головою Партії Вільних демократів, керівницею якої є Віталіна Бродська."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Сам же Одарич на нових виборах знову був обраний мером.",Сама же Одаричка на нових виборах знову була обрана очільницею.
